file_name,compound_name,A,B,C,Ae,Be,Ce,De,Ee,Fe,Ge,Density,Volume,T_boil
PVAP_4-methyl-2(1h)-quinolinone.tab,4-methyl-2(1h)-quinolinone,15.25400334,6320.0780214,-66.29851374,76.98404082,-11636.19337693,0.0,0.0,-8.42320089,-176670.0,-2.0,1.21246633,0.21801322,660.5326261066234
"PVAP_4-methyl-2,3-pentanedione.tab","4-methyl-2,3-pentanedione",14.31382581,3377.25898206,-54.40187623,64.27038306,-8189.84321158,0.0,0.0,-6.74405863,185130.0,-2.0,0.91769333,0.20653841,402.7347674337458
"PVAP_4-methyl-2,5-diisopropylphenol.tab","4-methyl-2,5-diisopropylphenol",15.45176351,5394.11881566,-69.34650114,62.02166489,-9266.6417098,0.0,0.0,-6.37163634,-245730.0,-2.0,0.91681705,0.34829106,567.2607026090743
"PVAP_4-methyl-2,6-dimethoxyphenol.tab","4-methyl-2,6-dimethoxyphenol",14.73560948,5366.4243135,-71.84108579,51.1092944,-8063.42398869,0.0,0.0,-5.02385101,-394020.0,-2.0,1.12218699,0.24887758,602.2629256610193
PVAP_4-methyl-2-hexanamine.tab,4-methyl-2-hexanamine,14.67947606,3520.57703438,-60.99403396,64.40284718,-8195.96079843,0.0,0.0,-6.72829087,111760.0,-2.0,0.76856868,0.24893389,410.912236469479
PVAP_4-methyl-2-hexanone.tab,4-methyl-2-hexanone,14.6970432,3728.14127096,-50.11806001,67.6554579,-8879.73760116,0.0,0.0,-7.14231358,221280.0,-2.0,0.81058141,0.2339192,420.0206825473083
PVAP_4-methyl-2-methoxyphenol.tab,4-methyl-2-methoxyphenol,14.27029138,4443.04332112,-65.02801483,48.16636867,-7300.34943222,0.0,0.0,-4.63151102,-184920.0,-2.0,1.06701264,0.21501869,525.3536011627479
PVAP_4-methyl-2-nitrophenol.tab,4-methyl-2-nitrophenol,14.32950153,4462.1715754,-50.0896188,61.72313829,-8989.35215128,0.0,0.0,-6.40303432,111240.0,-2.0,1.23162439,0.20646593,509.5782623019365
PVAP_4-methyl-2-pentanol.tab,4-methyl-2-pentanol,14.03539323,2816.22796097,-112.99220441,41.22951837,-3542.26461385,0.0,0.0,-3.94909273,-717040.0,-2.0,0.79334546,0.21386167,412.04816707547945
PVAP_4-methyl-2-pentanone.tab,4-methyl-2-pentanone,14.3903827,3406.90009928,-49.73909723,61.76200953,-8013.475851,0.0,0.0,-6.38907757,195090.0,-2.0,0.8043242,0.2067807,398.3763088709651
PVAP_4-methyl-2-penten-1-ol.tab,4-methyl-2-penten-1-ol,14.13314153,3003.4010153,-111.49382157,49.23154429,-4470.48393461,0.0,0.0,-5.01995885,-679370.0,-2.0,0.83088968,0.20016943,427.1492612234031
"PVAP_4-methyl-2-pentyl-1,3-dioxolane.tab","4-methyl-2-pentyl-1,3-dioxolane",15.49498155,5048.8129304,-46.09245229,83.14660761,-11678.16424263,0.0,0.0,-9.11716587,305400.0,-2.0,0.94546195,0.27791908,510.2807532422408
PVAP_4-methyl-2-pentylacetate.tab,4-methyl-2-pentylacetate,15.15169196,4313.60331062,-48.15228053,77.23118072,-10387.25027577,0.0,0.0,-8.36761764,282930.0,-2.0,0.86758102,0.27602042,457.6705925564416
PVAP_4-methyl-2-pyridinamine.tab,4-methyl-2-pyridinamine,14.30389213,4432.43360578,-68.88099897,56.26333909,-7976.71268999,0.0,0.0,-5.73438689,-166630.0,-2.0,1.07900164,0.16642561,526.514226462186
PVAP_4-methyl-2-pyrimidinamine.tab,4-methyl-2-pyrimidinamine,14.1430524,4350.60034828,-73.66488189,52.97751588,-7440.6688058,0.0,0.0,-5.3344184,-255720.0,-2.0,1.17120719,0.15472421,530.4342883545398
PVAP_4-methyl-2-thiazolamine.tab,4-methyl-2-thiazolamine,14.46261526,4541.32806425,-73.82430023,60.42501357,-8307.75796504,0.0,0.0,-6.29867434,-219470.0,-2.0,1.3085138,0.14488446,535.1406282152661
"PVAP_4-methyl-3,5-diisopropylphenol.tab","4-methyl-3,5-diisopropylphenol",15.13645912,5102.40033148,-84.84478843,45.83816661,-6705.3791521,0.0,0.0,-4.33706381,-661840.0,-2.0,0.93675787,0.34087697,569.9502489421682
"PVAP_4-methyl-3,6-dihydro-2h-pyran.tab","4-methyl-3,6-dihydro-2h-pyran",14.12788632,3421.27267913,-44.57792524,57.92052786,-7715.72435958,0.0,0.0,-5.90147295,197260.0,-2.0,0.93656343,0.17400983,404.3501065474468
PVAP_4-methyl-3-(1-methylethyl)-phenol.tab,4-methyl-3-(1-methylethyl)-phenol,14.5023447,4323.90641505,-87.65072662,38.29376016,-5330.72365294,0.0,0.0,-3.39456715,-634180.0,-2.0,0.95812615,0.26034533,525.1154546837024
PVAP_4-methyl-3-heptanol.tab,4-methyl-3-heptanol,14.33738489,3312.85614805,-100.31430532,35.3111888,-3801.57936821,0.0,0.0,-3.0529319,-676200.0,-2.0,0.80252837,0.26946071,441.1763816159634
