,carrier_phase_1_N,carrier_phase_1_W,carrier_phase_1_x,carrier_phase_2_N,carrier_phase_2_W,carrier_phase_2_x,"carrier_Kx(1,2)",solute_phase_1_N,solute_phase_1_W,solute_phase_1_x,solute_phase_2_N,solute_phase_2_W,solute_phase_2_x,"solute_Kx(1,2)",solvent_phase_1_N,solvent_phase_1_W,solvent_phase_1_x,solvent_phase_2_N,solvent_phase_2_W,solvent_phase_2_x,"solvent_Kx(1,2)",COSMO_name,file_name
998,50.6750827,912.92803363,0.97874299,0.23422224,4.2195895,0.02485159,39.38352975,1.08229776,97.49155512,0.02090359,0.02784738,2.50844488,0.00295468,7.07485772,0.01829845,2.74612449,0.00035342,9.16276825,1375.09499551,0.97219373,0.00036353,"1,2,4,5-tetrafluorobenzene","LIQEX_1,2,4,5-tetrafluorobenzene_tc40.0_W1100.0.tab"
999,50.85312696,916.13555853,0.97871206,0.05617798,1.0120646,0.00877809,111.4952457,1.10528256,99.56198726,0.02127211,0.00486258,0.43801274,0.0007598,27.99742462,0.00082236,0.11037672,1.5827e-05,6.33875625,850.78189328,0.99046211,1.5979e-05,"1,2,4,5-tetramethylbenzene","LIQEX_1,2,4,5-tetramethylbenzene_tc40.0_W1100.0.tab"
1000,50.79780804,915.13897024,0.97876313,0.11149691,2.00865288,0.01389636,70.43320071,1.0998805,99.07537922,0.0211923,0.01026463,0.92462078,0.00127933,16.56533804,0.00231333,0.41974968,4.4573e-05,7.90170035,1433.74868032,0.98482431,4.526e-05,"1,2,4-trichlorobenzene","LIQEX_1,2,4-trichlorobenzene_tc40.0_W1100.0.tab"
1001,49.82180208,897.55590668,0.98038259,1.08750286,19.59171644,0.11738182,8.35229066,0.89321209,80.45903692,0.01757643,0.21693305,19.54096308,0.02341511,0.75065672,0.10371962,14.74063842,0.00204097,7.96022567,1131.30777158,0.85920307,0.00237545,"1,2,4-trifluoro-3-methoxybutane","LIQEX_1,2,4-trifluoro-3-methoxybutane_tc40.0_W1100.0.tab"
1002,50.69137517,913.22154774,0.97860181,0.21792977,3.92607539,0.02214346,44.19375559,1.0812249,97.39491354,0.02087315,0.02892024,2.60508646,0.00293854,7.10337788,0.02719711,3.59229512,0.00052504,9.59487022,1267.32625488,0.974918,0.00053855,"1,2,4-trifluorobenzene","LIQEX_1,2,4-trifluorobenzene_tc40.0_W1100.0.tab"
1003,50.08793718,902.35041687,0.97726231,0.82136776,14.79720625,0.07590862,12.87417416,0.96816296,87.21048559,0.01888976,0.14198217,12.78951441,0.01312161,1.43963649,0.1972193,22.10709195,0.00384793,9.85713129,1104.92486805,0.91096977,0.00422399,"1,2,4-trifluorobutane","LIQEX_1,2,4-trifluorobutane_tc40.0_W1100.0.tab"
1004,50.85889584,916.23948677,0.97870813,0.0504091,0.90813636,0.00862536,113.46963182,1.10598524,99.62528391,0.02128314,0.00415989,0.37471609,0.00071179,29.90179602,0.00045383,0.0672777,8.7332e-06,5.7897242,858.3019023,0.99066286,8.8155e-06,"1,2,4-trimethyl-3-ethylbenzene","LIQEX_1,2,4-trimethyl-3-ethylbenzene_tc40.0_W1100.0.tab"
1005,50.84007337,915.90039403,0.97871252,0.06923157,1.2472291,0.00959652,101.98674489,1.10358156,99.40876409,0.02124484,0.00656358,0.59123591,0.00090981,23.35159427,0.00221486,0.26620952,4.2638e-05,7.13844465,857.98668048,0.98949368,4.3091e-05,"1,2,4-trimethylbenzene","LIQEX_1,2,4-trimethylbenzene_tc40.0_W1100.0.tab"
1006,41.37215012,745.33268891,0.9944584,9.53715483,171.81493422,0.54792939,1.81493977,0.20376066,18.35441653,0.00489778,0.90638447,81.64558347,0.05207367,0.09405479,0.02678471,3.43422957,0.00064382,6.96227061,892.67485043,0.39999693,0.00160957,"1,2,4-trimethylpiperazine","LIQEX_1,2,4-trimethylpiperazine_tc40.0_W1100.0.tab"
1007,50.3238081,906.59970776,0.97938066,0.58549684,10.54791536,0.04436193,22.07705309,1.00644674,90.65902316,0.01958704,0.1036984,9.34097684,0.00785702,2.49295447,0.0530432,6.59060921,0.0010323,12.50898617,1554.23963079,0.94778104,0.00108918,"1,2,4-trithiolane","LIQEX_1,2,4-trithiolane_tc40.0_W1100.0.tab"
