file_name,COSMO_name,A,B,C,Ae,Be,Ce,De,Ee,Fe,Ge,Density,Volume,T_boil,CAS_Number
PVAP_iso-oxazole.tab,iso-oxazole,13.64418323,3106.00037678,-60.55038983,48.85880328,-6341.60514442,0.0,0.0,-4.77568071,16977.41492799,-2.0,1.1114666,0.10317962,404.6731435870298,
PVAP_isoamyl-isothiocyanate.tab,isoamyl-isothiocyanate,15.24324981,4394.11905594,-47.46395329,78.38574983,-10581.14982283,0.0,0.0,-8.50961841,293830.0,-2.0,0.91780077,0.23380022,461.0313445330679,
PVAP_isoamylacetate.tab,isoamylacetate,14.91874142,4023.43080126,-50.14117666,72.27547224,-9604.03131105,0.0,0.0,-7.73532521,240650.0,-2.0,0.88857322,0.24328691,440.75004424950896,
PVAP_isoamylchloride.tab,isoamylchloride,14.49159696,3150.22940558,-51.12073562,64.3058357,-8009.06229863,0.0,0.0,-6.71661538,228080.0,-2.0,0.86269169,0.20517684,370.18740631636274,
PVAP_isoamylformate.tab,isoamylformate,14.41972205,3427.60020446,-58.42389973,65.24712065,-8265.71092287,0.0,0.0,-6.86968602,154610.0,-2.0,0.88605402,0.21769146,408.12946159515576,
PVAP_isoamylnitrite.tab,isoamylnitrite,14.24198402,3038.76486717,-51.12927432,60.32161546,-7522.88933045,0.0,0.0,-6.21450478,200840.0,-2.0,0.88073189,0.22086971,366.8893653008504,
PVAP_isobutanal.tab,isobutanal,13.80265132,2582.30422548,-51.89843564,50.72704022,-6155.8701577,0.0,0.0,-4.98249741,144440.0,-2.0,0.78395727,0.15273159,333.0629362607621,
PVAP_isobutanol.tab,isobutanol,13.77886502,2342.77380218,-123.14799979,46.21165253,-3397.16211031,0.0,0.0,-4.68526328,-691320.0,-2.0,0.78231675,0.15733078,378.8944827655537,
PVAP_isobutyl-tert-butylether.tab,isobutyl-tert-butylether,15.08432036,3753.27388307,-50.41974125,76.18166495,-9731.62615525,0.0,0.0,-8.2353259,294730.0,-2.0,0.75511545,0.28637987,409.0360681988672,
PVAP_isobutylangelate.tab,isobutylangelate,15.36630907,4474.73539765,-47.61566969,80.67963947,-10877.04741982,0.0,0.0,-8.80182749,307550.0,-2.0,0.8737131,0.29691033,463.9485160166108,
PVAP_isobutylbenzene.tab,isobutylbenzene,15.01485066,4203.06447097,-45.15141684,74.66742896,-10074.30003644,0.0,0.0,-8.03573985,294290.0,-2.0,0.83999175,0.26533116,449.4276060571357,
PVAP_isobutylbromide.tab,isobutylbromide,14.38993797,3076.91584333,-50.05930474,62.432334,-7771.15827431,0.0,0.0,-6.47659528,224200.0,-2.0,1.25866016,0.1807676,364.94267416584233,
PVAP_isobutylcyclohexane.tab,isobutylcyclohexane,15.17070965,4129.41274842,-45.43449576,77.95153739,-10321.34605264,0.0,0.0,-8.45545756,326710.0,-2.0,0.79134149,0.29433361,436.75987703600407,
PVAP_isobutylcyclopentane.tab,isobutylcyclopentane,14.99686183,3840.3888283,-46.09298048,74.63584465,-9718.68368135,0.0,0.0,-8.03286651,310390.0,-2.0,0.76157966,0.27525231,416.12508763519656,
PVAP_isobutylformate.tab,isobutylformate,14.09930243,3077.41036267,-59.5678138,59.37874979,-7367.8950929,0.0,0.0,-6.12256652,126060.0,-2.0,0.88586713,0.19144469,384.1559734167242,
PVAP_isobutylgermane.tab,isobutylgermane,14.71602623,3010.08938432,-51.10514402,68.78873191,-8314.85787401,0.0,0.0,-7.2867286,279950.0,-2.0,0.85077786,0.25915756,349.20188425400414,
PVAP_isobutylisobutyrate.tab,isobutylisobutyrate,15.15812132,4243.74827713,-48.76803131,76.83136857,-10270.7661966,0.0,0.0,-8.31384716,278170.0,-2.0,0.86507049,0.27682146,451.4087881967871,
PVAP_isobutylisocyanate.tab,isobutylisocyanate,14.15222091,3003.51053097,-50.07809939,58.36698663,-7310.54003511,0.0,0.0,-5.96239068,192880.0,-2.0,0.83018597,0.1982831,365.11333094204633,
PVAP_isobutylisothiocyanate.tab,isobutylisothiocyanate,14.92974418,4038.79506593,-47.56486623,72.58507375,-9684.22859591,0.0,0.0,-7.77069235,265320.0,-2.0,0.93326608,0.20496854,439.2469612408587,
PVAP_isobutylisovalerate.tab,isobutylisovalerate,15.47285131,4584.83846416,-48.30807304,82.51020208,-11146.29844455,0.0,0.0,-9.03550688,309350.0,-2.0,0.86005626,0.30551712,470.69793927703273,
PVAP_isobutylmethacrylate.tab,isobutylmethacrylate,15.09616842,4187.43062545,-48.61667561,75.55589485,-10096.32981929,0.0,0.0,-8.15018137,272120.0,-2.0,0.87466462,0.26995788,448.2632177194362,
PVAP_isobutylnitrate.tab,isobutylnitrate,14.00514443,3081.9525229,-53.91396802,56.16511155,-7128.62222039,0.0,0.0,-5.6935234,139640.0,-2.0,0.98531673,0.20075051,382.24192075711926,
PVAP_isobutylnitrite.tab,isobutylnitrite,13.91279754,2650.27413199,-52.30846752,54.22594433,-6561.25473858,0.0,0.0,-5.43850384,168900.0,-2.0,0.88380131,0.19374847,337.453907558624,
PVAP_isobutylpropionate.tab,isobutylpropionate,14.87119191,3928.65653459,-49.31382295,71.62780928,-9466.17745824,0.0,0.0,-7.65229881,249500.0,-2.0,0.87579144,0.24683758,432.49051885300514,
PVAP_isobutylvinylether.tab,isobutylvinylether,14.38018939,3095.78260987,-50.3027039,62.46740529,-7790.66907537,0.0,0.0,-6.48314246,221500.0,-2.0,0.7784513,0.21365334,367.4332312196684,
PVAP_isobutyricacid.tab,isobutyricacid,14.01511005,2896.56852303,-112.86122871,62.15654978,-5714.88083348,0.0,0.0,-6.76748539,-541520.0,-2.0,0.95740434,0.15281184,421.1125111225988,
PVAP_isobutyrylchloride.tab,isobutyrylchloride,14.15072974,3079.62288915,-51.77983603,58.08085453,-7333.50060937,0.0,0.0,-5.92745499,172430.0,-2.0,0.99545065,0.17774133,374.84894749084606,
PVAP_isocaproicacid.tab,isocaproicacid,14.52568051,3489.08031082,-108.39069311,65.53383962,-6458.68653469,0.0,0.0,-7.17206924,-615080.0,-2.0,0.93013365,0.20737492,460.5616821716885,
PVAP_isocyanatobenzene.tab,isocyanatobenzene,14.30951799,3704.11354313,-47.72223312,61.34547538,-8280.3920139,0.0,0.0,-6.34341709,185710.0,-2.0,1.05809054,0.18694586,429.93695844922246,
PVAP_isocyanatomethane.tab,isocyanatomethane,13.29741696,2092.68103991,-55.91940445,42.28604374,-4859.08298853,0.0,0.0,-3.91705656,87788.80979509,-2.0,0.85023198,0.11142409,297.0371412009042,
PVAP_isomesityloxide.tab,isomesityloxide,14.42606559,3505.96480538,-49.90543221,62.00631359,-8124.52471102,0.0,0.0,-6.41834504,188180.0,-2.0,0.82789252,0.19685073,407.3748916264725,
PVAP_isonitrobutane.tab,isonitrobutane,14.0817092,3360.68391496,-54.34196161,57.17551189,-7471.91813691,0.0,0.0,-5.82307061,120970.0,-2.0,0.9310831,0.18390964,409.46722612439305,
PVAP_isononylalcohol.tab,isononylalcohol,14.64862793,3504.47705023,-112.06225357,46.14275245,-4206.75320564,0.0,0.0,-4.59431636,-897770.0,-2.0,0.79969456,0.2995415,461.4514923672549,
PVAP_isooctanol.tab,isooctanol,14.68047783,3504.15830935,-112.33457027,48.7777674,-4455.61811413,0.0,0.0,-4.94617188,-879060.0,-2.0,0.81126482,0.26655891,460.5862033592856,
PVAP_isopentanol.tab,isopentanol,13.97209442,2603.71578567,-121.41830936,44.59367222,-3328.82179156,0.0,0.0,-4.46309201,-783250.0,-2.0,0.79698309,0.18366054,399.77860922011257,
PVAP_isopentyl(trimethyl)silane.tab,isopentyl(trimethyl)silane,15.71872225,3546.27150374,-53.47878118,84.31007061,-10267.76665263,0.0,0.0,-9.24419959,357800.0,-2.0,0.71969223,0.33301287,372.9515022698154,
PVAP_isopentylideneisopentylamine.tab,isopentylideneisopentylamine,15.80618161,4655.59669373,-47.95091378,88.88219395,-11836.80263374,0.0,0.0,-9.84553823,365920.0,-2.0,0.78076166,0.33025551,464.0806745417846,
PVAP_isoprene.tab,isoprene,13.82423325,2242.33342377,-52.73326693,51.86922386,-5949.48177408,0.0,0.0,-5.13039565,178160.0,-2.0,0.67192806,0.16833905,296.30895262030566,
PVAP_isopropenylacetate.tab,isopropenylacetate,14.22427305,3292.67070127,-55.03742591,60.2630499,-7703.57711674,0.0,0.0,-6.21844834,149900.0,-2.0,0.92304253,0.18010772,397.8118699794816,
PVAP_isopropenylchloroformate.tab,isopropenylchloroformate,14.30169607,3307.5368181,-52.58316771,60.81889236,-7798.85532532,0.0,0.0,-6.27828673,172770.0,-2.0,1.11576654,0.17938603,394.1521921404312,
PVAP_isopropenylpyrazine.tab,isopropenylpyrazine,14.53387932,4136.23793228,-47.57702313,65.00344834,-9037.75981383,0.0,0.0,-6.80767364,188890.0,-2.0,1.01437322,0.1966908,464.7237814383017,
PVAP_isopropoxytrimethylsilane.tab,isopropoxytrimethylsilane,15.19932579,3288.35914083,-53.98649324,74.34077588,-9056.64937755,0.0,0.0,-7.9743384,284750.0,-2.0,0.78238533,0.28074501,364.76632833749545,
PVAP_isopropyl-2-methylbutyrate.tab,isopropyl-2-methylbutyrate,15.06424163,4151.86889314,-47.34996638,75.13794995,-10040.49537645,0.0,0.0,-8.09577781,282370.0,-2.0,0.85356339,0.28055336,444.8136154286125,
