Temperature (°C),Phase 1 x(1) input,Phase 1 x(2) input,Phase 1 x(3) input,Phase 2 x(1) input,Phase 2 x(2) input,Phase 2 x(3) input,Compound 1,Compound 2,Compound 3,Phase 1 x(1) output,Phase 1 x(2) output,Phase 1 x(3) output,Phase 2 x(1) output,Phase 2 x(2) output,Phase 2 x(3) output
40.0,0.9787,0,0.0213,0,1.0,0,h2o,1-butanol,lacticacid,0.97457937,0.01931073,0.0061099,0.46405628,0.52238522,0.0135585
40.0,0.9669,0,0.0331,0,1.0,0,h2o,1-butanol,lacticacid,0.97000822,0.02033773,0.00965405,0.47348745,0.50544039,0.02107216
40.0,0.9543,0,0.0457,0,1.0,0,h2o,1-butanol,lacticacid,0.96484923,0.0215366,0.01361417,0.48389947,0.48694993,0.02915061
40.0,0.9407,0,0.0593,0,1.0,0,h2o,1-butanol,lacticacid,0.95895564,0.02295888,0.01808548,0.49553735,0.46659848,0.03786417
20.0,0.999,0,0.0010033,0,1.0,0,h2o,1-decanol,lacticacid,0.99931311,6.36e-06,0.00068053,0.10818723,0.89143682,0.00037595
20.0,0.998,0,0.0020129,0,1.0,0,h2o,1-decanol,lacticacid,0.99862723,6.4982e-06,0.00136627,0.10824182,0.8910041,0.00075408
20.0,0.9959,0,0.0040513,0,1.0,0,h2o,1-decanol,lacticacid,0.99723964,6.7855e-06,0.00275358,0.10835156,0.8901315,0.00151694
20.0,0.9897,0,0.0103,0,1.0,0,h2o,1-decanol,lacticacid,0.99294606,7.742e-06,0.0070462,0.10868529,0.88745467,0.00386004
20.0,0.9787,0,0.0213,0,1.0,0,h2o,1-decanol,lacticacid,0.98532527,9.7152e-06,0.01466502,0.10925677,0.88278423,0.007959
20.0,0.9669,0,0.0331,0,1.0,0,h2o,1-decanol,lacticacid,0.97706675,1.2306e-05,0.02292095,0.10985185,0.87782308,0.01232507
20.0,0.9543,0,0.0457,0,1.0,0,h2o,1-decanol,lacticacid,0.96809616,1.5739e-05,0.0318881,0.11046471,0.87254418,0.01699111
20.0,0.9407,0,0.0593,0,1.0,0,h2o,1-decanol,lacticacid,0.9583293,2.0336e-05,0.04165036,0.11109886,0.86690354,0.0219976
30.0,0.999,0,0.0010033,0,1.0,0,h2o,1-decanol,lacticacid,0.99936086,6.3167e-06,0.00063282,0.10982283,0.88976201,0.00041516
30.0,0.998,0,0.0020129,0,1.0,0,h2o,1-decanol,lacticacid,0.99872279,6.4491e-06,0.00127076,0.10989682,0.88927057,0.00083261
30.0,0.9959,0,0.0040513,0,1.0,0,h2o,1-decanol,lacticacid,0.99743106,6.7241e-06,0.00256222,0.11004559,0.88827997,0.00167445
30.0,0.9897,0,0.0103,0,1.0,0,h2o,1-decanol,lacticacid,0.99342692,7.6395e-06,0.00656544,0.11049816,0.88524475,0.00425709
30.0,0.9787,0,0.0213,0,1.0,0,h2o,1-decanol,lacticacid,0.98629371,9.5263e-06,0.01369676,0.11127365,0.87996273,0.00876362
30.0,0.9669,0,0.0331,0,1.0,0,h2o,1-decanol,lacticacid,0.97852717,1.2003e-05,0.02146083,0.11208098,0.87437209,0.01354693
30.0,0.9543,0,0.0457,0,1.0,0,h2o,1-decanol,lacticacid,0.97004986,1.529e-05,0.02993485,0.11291297,0.8684485,0.01863852
30.0,0.9407,0,0.0593,0,1.0,0,h2o,1-decanol,lacticacid,0.96077469,1.9699e-05,0.03920561,0.11377783,0.86214412,0.02407805
40.0,0.999,0,0.0010033,0,1.0,0,h2o,1-decanol,lacticacid,0.9994029,6.4629e-06,0.00059064,0.11221821,0.887332,0.0004498
40.0,0.998,0,0.0020129,0,1.0,0,h2o,1-decanol,lacticacid,0.99880713,6.5933e-06,0.00118627,0.11231005,0.88678794,0.00090201
40.0,0.9959,0,0.0040513,0,1.0,0,h2o,1-decanol,lacticacid,0.99760036,6.8642e-06,0.00239277,0.11249476,0.88569148,0.00181376
40.0,0.9897,0,0.0103,0,1.0,0,h2o,1-decanol,lacticacid,0.99385383,7.7646e-06,0.00613841,0.11305705,0.88233366,0.00460929
40.0,0.9787,0,0.0213,0,1.0,0,h2o,1-decanol,lacticacid,0.98715832,9.6176e-06,0.01283206,0.11402589,0.87649307,0.00948104
40.0,0.9669,0,0.0331,0,1.0,0,h2o,1-decanol,lacticacid,0.97983728,1.2048e-05,0.02015067,0.11502721,0.8703316,0.01464119
40.0,0.9543,0,0.0457,0,1.0,0,h2o,1-decanol,lacticacid,0.97181096,1.5274e-05,0.02817377,0.1160643,0.86381497,0.02012073
40.0,0.9407,0,0.0593,0,1.0,0,h2o,1-decanol,lacticacid,0.96298857,1.9604e-05,0.03699183,0.11714273,0.85689966,0.02595761
20.0,0.999,0,0.0010033,0,1.0,0,h2o,1-heptanol,lacticacid,0.99911622,0.0003335,0.00055029,0.17696997,0.82252239,0.00050764
20.0,0.998,0,0.0020129,0,1.0,0,h2o,1-heptanol,lacticacid,0.99855787,0.00033753,0.0011046,0.1771755,0.82180571,0.00101879
20.0,0.9959,0,0.0040513,0,1.0,0,h2o,1-heptanol,lacticacid,0.99742877,0.0003458,0.00222542,0.1775959,0.82035226,0.00205184
20.0,0.9897,0,0.0103,0,1.0,0,h2o,1-heptanol,lacticacid,0.99393855,0.00037237,0.00568908,0.17887523,0.81588533,0.00523943
20.0,0.9787,0,0.0213,0,1.0,0,h2o,1-heptanol,lacticacid,0.98775517,0.0004232,0.01182162,0.18112326,0.8080093,0.01086743
20.0,0.9669,0,0.0331,0,1.0,0,h2o,1-heptanol,lacticacid,0.98106742,0.00048392,0.01844866,0.18353736,0.79953158,0.01693106
20.0,0.9543,0,0.0457,0,1.0,0,h2o,1-heptanol,lacticacid,0.97381348,0.00055699,0.02562953,0.1861294,0.79038573,0.02348486
20.0,0.9407,0,0.0593,0,1.0,0,h2o,1-heptanol,lacticacid,0.96592132,0.0006456,0.03343308,0.18891746,0.7804896,0.03059293
30.0,0.999,0,0.0010033,0,1.0,0,h2o,1-heptanol,lacticacid,0.99918364,0.00031488,0.00050148,0.17791267,0.82154694,0.00054039
30.0,0.998,0,0.0020129,0,1.0,0,h2o,1-heptanol,lacticacid,0.99867471,0.0003185,0.0010068,0.17814346,0.82077212,0.00108442
30.0,0.9959,0,0.0040513,0,1.0,0,h2o,1-heptanol,lacticacid,0.99764501,0.00032591,0.00202908,0.17861479,0.81920161,0.00218359
30.0,0.9897,0,0.0103,0,1.0,0,h2o,1-heptanol,lacticacid,0.99445758,0.00034971,0.00519271,0.18004874,0.81437877,0.00557249
30.0,0.9787,0,0.0213,0,1.0,0,h2o,1-heptanol,lacticacid,0.98879412,0.00039523,0.01081065,0.18256714,0.80588712,0.01154574
30.0,0.9669,0,0.0331,0,1.0,0,h2o,1-heptanol,lacticacid,0.98264382,0.00044962,0.01690655,0.18524999,0.79678457,0.01796544
30.0,0.9543,0,0.0457,0,1.0,0,h2o,1-heptanol,lacticacid,0.97594389,0.00051513,0.02354098,0.18812358,0.7869911,0.02488532
30.0,0.9407,0,0.0593,0,1.0,0,h2o,1-heptanol,lacticacid,0.96861954,0.00059473,0.03078573,0.19119958,0.77643327,0.03236715
40.0,0.999,0,0.0010033,0,1.0,0,h2o,1-heptanol,lacticacid,0.99923477,0.00030504,0.00046019,0.18009146,0.81934074,0.0005678
40.0,0.998,0,0.0020129,0,1.0,0,h2o,1-heptanol,lacticacid,0.99876761,0.00030837,0.00092402,0.18034503,0.81851561,0.00113936
40.0,0.9959,0,0.0040513,0,1.0,0,h2o,1-heptanol,lacticacid,0.99782203,0.0003152,0.00186277,0.18085677,0.81684928,0.00229394
40.0,0.9897,0,0.0103,0,1.0,0,h2o,1-heptanol,lacticacid,0.99489184,0.00033708,0.00477108,0.18242948,0.8117184,0.00585212
40.0,0.9787,0,0.0213,0,1.0,0,h2o,1-heptanol,lacticacid,0.98967316,0.00037891,0.00994794,0.18518817,0.80269429,0.01211754
40.0,0.9669,0,0.0331,0,1.0,0,h2o,1-heptanol,lacticacid,0.98398729,0.00042886,0.01558385,0.18812126,0.79303709,0.01884165
40.0,0.9543,0,0.0457,0,1.0,0,h2o,1-heptanol,lacticacid,0.9777704,0.00048903,0.02174058,0.1912545,0.78266815,0.02607735
40.0,0.9407,0,0.0593,0,1.0,0,h2o,1-heptanol,lacticacid,0.97094593,0.0005622,0.02849187,0.19460008,0.77151486,0.03388507
20.0,0.999,0,0.0010033,0,1.0,0,h2o,1-hexanol,lacticacid,0.99818527,0.00133419,0.00048054,0.25400296,0.74541923,0.00057781
20.0,0.998,0,0.0020129,0,1.0,0,h2o,1-hexanol,lacticacid,0.99768908,0.00134634,0.00096458,0.25433049,0.74450975,0.00115976
20.0,0.9959,0,0.0040513,0,1.0,0,h2o,1-hexanol,lacticacid,0.99668556,0.00137115,0.00194328,0.25499902,0.74266469,0.00233629
20.0,0.9897,0,0.0103,0,1.0,0,h2o,1-hexanol,lacticacid,0.99358236,0.00145004,0.0049676,0.25704379,0.73698625,0.00596996
20.0,0.9787,0,0.0213,0,1.0,0,h2o,1-hexanol,lacticacid,0.98807954,0.00159794,0.01032252,0.26066017,0.72694316,0.01239667
20.0,0.9669,0,0.0331,0,1.0,0,h2o,1-hexanol,lacticacid,0.98211755,0.00177019,0.01611226,0.2645538,0.71611292,0.01933328
20.0,0.9543,0,0.0457,0,1.0,0,h2o,1-hexanol,lacticacid,0.97563517,0.00197229,0.02239254,0.26875697,0.70440182,0.02684121
20.0,0.9407,0,0.0593,0,1.0,0,h2o,1-hexanol,lacticacid,0.96855918,0.00221134,0.02922948,0.27330571,0.69170281,0.03499148
30.0,0.999,0,0.0010033,0,1.0,0,h2o,1-hexanol,lacticacid,0.99832729,0.00123922,0.00043349,0.25205428,0.74734502,0.0006007
30.0,0.998,0,0.0020129,0,1.0,0,h2o,1-hexanol,lacticacid,0.99787989,0.00124982,0.00087029,0.25239746,0.74639693,0.00120561
30.0,0.9959,0,0.0040513,0,1.0,0,h2o,1-hexanol,lacticacid,0.99697456,0.00127147,0.00175397,0.25309062,0.74448115,0.00242823
30.0,0.9897,0,0.0103,0,1.0,0,h2o,1-hexanol,lacticacid,0.99417131,0.00134022,0.00448846,0.25523379,0.73856441,0.0062018
30.0,0.9787,0,0.0213,0,1.0,0,h2o,1-hexanol,lacticacid,0.98918558,0.00146915,0.00934527,0.25900207,0.72813162,0.01286631
30.0,0.9669,0,0.0331,0,1.0,0,h2o,1-hexanol,lacticacid,0.98376197,0.00161939,0.01461864,0.26304344,0.71691109,0.02004548
30.0,0.9543,0,0.0457,0,1.0,0,h2o,1-hexanol,lacticacid,0.9778385,0.00179589,0.02036562,0.26738875,0.70481221,0.02779904
30.0,0.9407,0,0.0593,0,1.0,0,h2o,1-hexanol,lacticacid,0.97134045,0.00200509,0.02665447,0.27207274,0.69173153,0.03619572
40.0,0.999,0,0.0010033,0,1.0,0,h2o,1-hexanol,lacticacid,0.99842559,0.00117987,0.00039454,0.25218958,0.74719106,0.00061936
40.0,0.998,0,0.0020129,0,1.0,0,h2o,1-hexanol,lacticacid,0.99801844,0.00118937,0.00079219,0.2525482,0.7462088,0.001243
40.0,0.9959,0,0.0040513,0,1.0,0,h2o,1-hexanol,lacticacid,0.99719424,0.00120877,0.00159699,0.2532723,0.74422441,0.00250329
40.0,0.9897,0,0.0103,0,1.0,0,h2o,1-hexanol,lacticacid,0.99463953,0.00127036,0.00409011,0.25550862,0.7380998,0.00639158
40.0,0.9787,0,0.0213,0,1.0,0,h2o,1-hexanol,lacticacid,0.99008525,0.00138583,0.00852892,0.2594271,0.72732022,0.01325268
40.0,0.9669,0,0.0331,0,1.0,0,h2o,1-hexanol,lacticacid,0.98511523,0.00152035,0.01336441,0.26362617,0.71573883,0.020635
40.0,0.9543,0,0.0457,0,1.0,0,h2o,1-hexanol,lacticacid,0.97966725,0.00167846,0.01865429,0.26812933,0.70327333,0.02859734
40.0,0.9407,0,0.0593,0,1.0,0,h2o,1-hexanol,lacticacid,0.97366648,0.00186603,0.02446748,0.27297774,0.6898147,0.03720756
20.0,0.999,0,0.0010033,0,1.0,0,h2o,1-nonanol,lacticacid,0.99932096,2.3059e-05,0.00065598,0.11949108,0.88010675,0.00040217
20.0,0.998,0,0.0020129,0,1.0,0,h2o,1-nonanol,lacticacid,0.99865959,2.3491e-05,0.00131692,0.11957389,0.87961929,0.00080682
20.0,0.9959,0,0.0040513,0,1.0,0,h2o,1-nonanol,lacticacid,0.99732167,2.4385e-05,0.00265395,0.11973324,0.8786432,0.00162356
20.0,0.9897,0,0.0103,0,1.0,0,h2o,1-nonanol,lacticacid,0.99318266,2.7327e-05,0.00679002,0.12022025,0.87564426,0.0041355
20.0,0.9787,0,0.0213,0,1.0,0,h2o,1-nonanol,lacticacid,0.98583913,3.3252e-05,0.01412761,0.12106292,0.87039543,0.00854165
20.0,0.9669,0,0.0331,0,1.0,0,h2o,1-nonanol,lacticacid,0.97788458,4.0799e-05,0.02207462,0.12195101,0.86479803,0.01325096
20.0,0.9543,0,0.0457,0,1.0,0,h2o,1-nonanol,lacticacid,0.96924733,5.0499e-05,0.03070217,0.12288139,0.85881731,0.0183013
20.0,0.9407,0,0.0593,0,1.0,0,h2o,1-nonanol,lacticacid,0.95984658,6.3071e-05,0.04009035,0.1238646,0.85239579,0.02373961
30.0,0.999,0,0.0010033,0,1.0,0,h2o,1-nonanol,lacticacid,0.9993704,2.2518e-05,0.00060708,0.12113849,0.87842027,0.00044124
30.0,0.998,0,0.0020129,0,1.0,0,h2o,1-nonanol,lacticacid,0.99875805,2.2924e-05,0.00121902,0.12123956,0.87787537,0.00088507
30.0,0.9959,0,0.0040513,0,1.0,0,h2o,1-nonanol,lacticacid,0.99751855,2.3763e-05,0.00245769,0.12144307,0.87677634,0.0017806
30.0,0.9897,0,0.0103,0,1.0,0,h2o,1-nonanol,lacticacid,0.99367751,2.6523e-05,0.00629597,0.12206479,0.87340326,0.00453195
30.0,0.9787,0,0.0213,0,1.0,0,h2o,1-nonanol,lacticacid,0.98683877,3.208e-05,0.01312915,0.12313942,0.8675134,0.00934718
30.0,0.9669,0,0.0331,0,1.0,0,h2o,1-nonanol,lacticacid,0.97939747,3.9158e-05,0.02056338,0.12426971,0.86125276,0.01447753
30.0,0.9543,0,0.0457,0,1.0,0,h2o,1-nonanol,lacticacid,0.97127921,4.8265e-05,0.02867252,0.12545134,0.85458888,0.01995978
30.0,0.9407,0,0.0593,0,1.0,0,h2o,1-nonanol,lacticacid,0.96240002,6.0095e-05,0.03753988,0.12669599,0.84746451,0.0258395
40.0,0.999,0,0.0010033,0,1.0,0,h2o,1-nonanol,lacticacid,0.99941315,2.2619e-05,0.00056423,0.12359959,0.87592503,0.00047538
40.0,0.998,0,0.0020129,0,1.0,0,h2o,1-nonanol,lacticacid,0.99884381,2.301e-05,0.00113318,0.12372068,0.87532582,0.0009535
40.0,0.9959,0,0.0040513,0,1.0,0,h2o,1-nonanol,lacticacid,0.99769077,2.3819e-05,0.00228541,0.12396453,0.87411744,0.00191803
40.0,0.9897,0,0.0103,0,1.0,0,h2o,1-nonanol,lacticacid,0.99411257,2.6478e-05,0.00586095,0.12470955,0.87041056,0.00487989
40.0,0.9787,0,0.0213,0,1.0,0,h2o,1-nonanol,lacticacid,0.98772296,3.1823e-05,0.01224521,0.12600178,0.86394053,0.0100577
40.0,0.9669,0,0.0331,0,1.0,0,h2o,1-nonanol,lacticacid,0.98074245,3.8628e-05,0.01921892,0.12735257,0.85708317,0.01556426
40.0,0.9543,0,0.0457,0,1.0,0,h2o,1-nonanol,lacticacid,0.97309476,4.7383e-05,0.02685786,0.12876798,0.84979599,0.02143603
40.0,0.9407,0,0.0593,0,1.0,0,h2o,1-nonanol,lacticacid,0.96469269,5.8767e-05,0.03524855,0.13025738,0.84202546,0.02771716
20.0,0.999,0,0.0010033,0,1.0,0,h2o,1-octanol,lacticacid,0.99931066,8.36e-05,0.00060574,0.13745049,0.86209938,0.00045013
20.0,0.998,0,0.0020129,0,1.0,0,h2o,1-octanol,lacticacid,0.99869913,8.4884e-05,0.00121599,0.13757701,0.86151979,0.0009032
20.0,0.9959,0,0.0040513,0,1.0,0,h2o,1-octanol,lacticacid,0.99746225,8.7527e-05,0.00245023,0.13783226,0.86034945,0.00181829
20.0,0.9897,0,0.0103,0,1.0,0,h2o,1-octanol,lacticacid,0.99363752,9.6115e-05,0.00626636,0.13861612,0.85674638,0.00463751
20.0,0.9787,0,0.0213,0,1.0,0,h2o,1-octanol,lacticacid,0.98685749,0.00011296,0.01302955,0.13999114,0.85040886,0.0096
20.0,0.9669,0,0.0331,0,1.0,0,h2o,1-octanol,lacticacid,0.97951978,0.00013372,0.0203465,0.14144882,0.84362481,0.01492636
20.0,0.9543,0,0.0457,0,1.0,0,h2o,1-octanol,lacticacid,0.97155897,0.00015951,0.02828152,0.14300673,0.83632983,0.02066344
20.0,0.9407,0,0.0593,0,1.0,0,h2o,1-octanol,lacticacid,0.96289873,0.00019181,0.03690946,0.14466762,0.82846659,0.02686579
30.0,0.999,0,0.0010033,0,1.0,0,h2o,1-octanol,lacticacid,0.99936262,8.0623e-05,0.00055676,0.1392011,0.86031155,0.00048735
30.0,0.998,0,0.0020129,0,1.0,0,h2o,1-octanol,lacticacid,0.99880031,8.1806e-05,0.00111788,0.13935221,0.85967,0.00097779
30.0,0.9959,0,0.0040513,0,1.0,0,h2o,1-octanol,lacticacid,0.99766237,8.4242e-05,0.00225338,0.13965698,0.858375,0.00196802
30.0,0.9897,0,0.0103,0,1.0,0,h2o,1-octanol,lacticacid,0.99413823,9.2152e-05,0.00576962,0.14059207,0.85439192,0.00501601
30.0,0.9787,0,0.0213,0,1.0,0,h2o,1-octanol,lacticacid,0.98787113,0.00010766,0.01202121,0.14222854,0.84740068,0.01037077
30.0,0.9669,0,0.0331,0,1.0,0,h2o,1-octanol,lacticacid,0.98105997,0.00012677,0.01881326,0.14395865,0.83993874,0.01610261
30.0,0.9543,0,0.0457,0,1.0,0,h2o,1-octanol,lacticacid,0.97363736,0.00015052,0.02621212,0.14580105,0.83194151,0.02225744
30.0,0.9407,0,0.0593,0,1.0,0,h2o,1-octanol,lacticacid,0.96552446,0.00018033,0.03429521,0.14776102,0.82335026,0.02888872
40.0,0.999,0,0.0010033,0,1.0,0,h2o,1-octanol,lacticacid,0.99940563,7.983e-05,0.00051454,0.1418623,0.85761847,0.00051923
40.0,0.998,0,0.0020129,0,1.0,0,h2o,1-octanol,lacticacid,0.9988858,8.0949e-05,0.00103325,0.1420356,0.85692273,0.00104168
40.0,0.9959,0,0.0040513,0,1.0,0,h2o,1-octanol,lacticacid,0.99783333,8.3253e-05,0.00208342,0.14238507,0.85551854,0.00209639
40.0,0.9897,0,0.0103,0,1.0,0,h2o,1-octanol,lacticacid,0.99456993,9.0727e-05,0.00533934,0.14346161,0.85119693,0.00534146
40.0,0.9787,0,0.0213,0,1.0,0,h2o,1-octanol,lacticacid,0.98875102,0.00010536,0.01114362,0.14533178,0.84363197,0.01103625
40.0,0.9669,0,0.0331,0,1.0,0,h2o,1-octanol,lacticacid,0.98240483,0.00012338,0.01747179,0.14731608,0.83556081,0.01712312
40.0,0.9543,0,0.0457,0,1.0,0,h2o,1-octanol,lacticacid,0.97546134,0.00014578,0.02439288,0.1494166,0.82693706,0.02364634
40.0,0.9407,0,0.0593,0,1.0,0,h2o,1-octanol,lacticacid,0.96784006,0.0001739,0.03198603,0.15165064,0.81769036,0.030659
20.0,0.999,0,0.0010033,0,1.0,0,h2o,1-undecanol,lacticacid,0.9992865,1.5475e-06,0.00071195,0.08724939,0.91241301,0.00033761
20.0,0.998,0,0.0020129,0,1.0,0,h2o,1-undecanol,lacticacid,0.99856909,1.5864e-06,0.00142933,0.08728053,0.91204245,0.00067702
20.0,0.9959,0,0.0040513,0,1.0,0,h2o,1-undecanol,lacticacid,0.99711773,1.6677e-06,0.0028806,0.08734294,0.91129569,0.00136137
20.0,0.9897,0,0.0103,0,1.0,0,h2o,1-undecanol,lacticacid,0.99262732,1.9422e-06,0.00737074,0.0875312,0.90900891,0.00345989
20.0,0.9787,0,0.0213,0,1.0,0,h2o,1-undecanol,lacticacid,0.98465908,2.5236e-06,0.01533839,0.08784811,0.90503307,0.00711882
20.0,0.9669,0,0.0331,0,1.0,0,h2o,1-undecanol,lacticacid,0.97602693,3.3128e-06,0.02396976,0.08816857,0.90083175,0.01099968
