carrier_phase_1_N,carrier_phase_1_W,carrier_phase_1_x,carrier_phase_2_N,carrier_phase_2_W,carrier_phase_2_x,"carrier_Kx(1,2)",solute_phase_1_N,solute_phase_1_W,solute_phase_1_x,solute_phase_2_N,solute_phase_2_W,solute_phase_2_x,"solute_Kx(1,2)",solvent_phase_1_N,solvent_phase_1_W,solvent_phase_1_x,solvent_phase_2_N,solvent_phase_2_W,solvent_phase_2_x,"solvent_Kx(1,2)",COSMO_name,file_name,SMILES,Density,T_boil,Phase,Pareto,carrier_phase_1_W_norm,carrier_phase_2_W_norm,solute_phase_1_W_norm,solute_phase_2_W_norm,solvent_phase_1_W_norm,solvent_phase_2_W_norm,Selectivity
0.04724421,0.85111984,0.0082076,50.86206073,916.29650329,0.97870048,119.24411742,0.00376917,0.33952088,0.00065481,1.10637596,99.66047912,0.02128916,32.51303615,5.70514042,845.76271839,0.99113759,0.0005381,0.07977161,1.0354e-05,1.0447e-05,"(1,1-dimethylpropyl)benzene","LIQEX_(1,1-dimethylpropyl)benzene_tc40.0_W1100.0.tab",c1(ccccc1)C(CC)(C)C,0.84584249,460.375325288892,1,True,0.000979154843233412,0.9990208451567795,0.003541438767233824,0.9964585612327661,0.1722054338324691,7.076190751247739e-05,0.002562283924000412
0.11307447,2.03707325,0.01439141,50.79623047,915.11054987,0.97876383,68.01035428,0.01276008,1.14940669,0.00162402,1.09738505,98.85059331,0.02114489,13.02028814,7.7312447,1071.5123921,0.98398456,0.00473709,0.6565379,9.1276e-05,9.2762e-05,(1-chloroethenyl)benzene,LIQEX_(1-chloroethenyl)benzene_tc40.0_W1100.0.tab,ClC(=C)c1ccccc1,1.07216893,457.8201134823943,1,False,0.002526765329973314,0.9974732346570102,0.012127471598423891,0.987872528401576,0.2534825032917006,0.00058238642593378,0.009600706268450577
0.05513563,0.99328625,0.00863072,50.85416931,916.15433688,0.97869002,113.39661057,0.00459888,0.41425968,0.00071989,1.10554625,99.58574032,0.02127627,29.55551766,6.32856539,865.08920069,0.99064939,0.00175162,0.23943931,3.371e-05,3.4028e-05,(1-chloroethyl)trimethylsilane,LIQEX_(1-chloroethyl)trimethylsilane_tc40.0_W1100.0.tab,C[C@@H]([Si](C)(C)C)Cl,0.86532864,364.6825291908547,1,False,0.001164674970013236,0.9988353250300019,0.004333784777795175,0.9956662152222048,0.17916358273468003,0.0002123962428338725,0.003169109807781939
0.0453201,0.81645627,0.00793139,50.86398484,916.33116685,0.97870079,123.3966359,0.00351014,0.31618712,0.0006143,1.106635,99.68381288,0.02129335,34.66344142,5.66518761,839.83988407,0.99145431,0.00030474,0.04517593,5.8636e-06,5.9141e-06,(1-methylbutyl)benzene,LIQEX_(1-methylbutyl)benzene_tc40.0_W1100.0.tab,c1ccc([C@@H](C)CCC)cc1,0.83988506,467.8806705068933,1,False,0.0009339206004819682,0.9990660793864808,0.0032940650918818508,0.9967059349081181,0.17007302491904336,4.007357078694253e-05,0.0023601444913998824
0.07221838,1.30103757,0.01074349,50.83708656,915.84658555,0.97873354,91.10052292,0.00701033,0.63147835,0.00104288,1.10313481,99.36852165,0.02123794,20.3653439,6.64282879,878.20298434,0.98821362,0.00148117,0.19581566,2.8516e-05,2.8856e-05,(1-methylenepropyl)-benzene,LIQEX_(1-methylenepropyl)-benzene_tc40.0_W1100.0.tab,C=C(c1ccccc1)CC,0.8783988,455.4308733937235,1,False,0.0015662752066869915,0.998433724780284,0.006636636129354774,0.9933633638706452,0.18388496233659954,0.00017369958300822726,0.005070360922667782
0.01883276,0.33927821,0.00279234,50.89047218,916.80834491,0.97865705,350.48066889,0.00077734,0.07002145,0.00011526,1.1093678,99.92997855,0.02133387,185.10200309,6.7248241,754.61532232,0.9970924,0.00047238,0.05300768,9.0842e-06,9.1107e-06,(1-methylethyl)-cyclopentane,LIQEX_(1-methylethyl)-cyclopentane_tc40.0_W1100.0.tab,C1CCCC1C(C)C,0.75466833,389.70347627864027,1,False,0.0003112268559627782,0.9996887731309918,0.0006843311041584453,0.9993156688958414,0.1393894694961215,4.702077867966809e-05,0.00037310424819566706
0.09410129,1.69526519,0.0102919,50.81520365,915.45235794,0.97850747,95.07570951,0.01009793,0.90960458,0.00110441,1.10004721,99.09039542,0.02118272,19.18031325,9.03904069,742.5043145,0.98860369,0.01608874,1.3215955,0.00030981,0.00031338,(1-methylvinyl)cyclopropane,LIQEX_(1-methylvinyl)cyclopropane_tc40.0_W1100.0.tab,C1CC1C(=C)C,0.74382591,347.34529167917566,1,False,0.0020807227336556208,0.9979192772663715,0.009585201115318808,0.9904147988846811,0.13502912111718232,0.001172330360282695,0.007504478381663187
0.25157154,4.53214279,0.02426471,50.6577334,912.61548034,0.97856484,40.32878161,0.03647943,3.28600584,0.00351853,1.0736657,96.71399416,0.0207402,5.89454312,10.07974528,1299.89387267,0.97221676,0.03597613,4.63951733,0.00069496,0.00071482,"(1e)-1,3-dichloro-1-fluoroprop-1-ene","LIQEX_(1e)-1,3-dichloro-1-fluoroprop-1-ene_tc40.0_W1100.0.tab",C(/C=C(\F)/Cl)Cl,1.30453339,366.8849819344419,1,False,0.0057827075556036635,0.9942172924444719,0.034778702454034006,0.9652212975459659,0.33570710700623424,0.004115515820087007,0.02899599489843034
0.02945948,0.53072206,0.00431902,50.87984546,916.61690107,0.97865885,226.59374747,0.00092248,0.08309553,0.00013524,1.10922266,99.91690447,0.02133557,157.75834145,6.79048462,1582.42376873,0.99554573,0.00028979,0.06753127,5.574e-06,5.599e-06,"(1e)-2,2,2-trifluoro-n-(1,1,2,2,2-pentafluoroethyl)ethanimidoylfluoride","LIQEX_(1e)-2,2,2-trifluoro-n-(1,1,2,2,2-pentafluoroethyl)ethanimidoylfluoride_tc40.0_W1100.0.tab",C(=N\C(C(F)(F)F)(F)F)(\C(F)(F)F)/F,1.5824913,311.5384881196468,1,False,0.0005610516023513069,0.9994389483976561,0.0008229364220088783,0.9991770635779911,0.437426864155814,5.990402943188948e-05,0.0002618848196575714
13.1531431,236.95813462,0.55075501,37.75616184,680.18948851,0.98471672,1.78793863,0.77402234,69.7226257,0.03241025,0.3361228,30.2773743,0.0087664,0.27048226,9.95485623,1294.78977073,0.41683474,0.24987094,32.49974927,0.00651687,0.01563418,(1r)-1-(trifluoromethoxy)ethanol,LIQEX_(1r)-1-(trifluoromethoxy)ethanol_tc40.0_W1100.0.tab,C[C@H](O)OC(F)(F)F,1.32728952,392.5705634370494,1,False,0.3090871201185144,0.6909128798855192,0.7391088589624609,0.26089114103753897,0.3338694678146167,0.028829126855517483,0.4300217388439465
