Temperature (°C),Phase 1 x(1) input,Phase 1 x(2) input,Phase 1 x(3) input,Phase 2 x(1) input,Phase 2 x(2) input,Phase 2 x(3) input,Compound 1,COSMO_name,Compound 3,Phase 1 x(1) output,Phase 1 x(2) output,Phase 1 x(3) output,Phase 2 x(1) output,Phase 2 x(2) output,Phase 2 x(3) output,SMILES,KV
30.0,0.9897,0,0.0103,0,1.0,0,h2o,1-decanol,lacticacid,0.99342692,7.6395e-06,0.00656544,0.11049816,0.88524475,0.00425709,OCCCCCCCCCC,0.6484089413656967
30.0,0.9787,0,0.0213,0,1.0,0,h2o,1-decanol,lacticacid,0.98629371,9.5263e-06,0.01369676,0.11127365,0.87996273,0.00876362,OCCCCCCCCCC,0.6398316098113714
30.0,0.9669,0,0.0331,0,1.0,0,h2o,1-decanol,lacticacid,0.97852717,1.2003e-05,0.02146083,0.11208098,0.87437209,0.01354693,OCCCCCCCCCC,0.6312397982743445
30.0,0.9543,0,0.0457,0,1.0,0,h2o,1-decanol,lacticacid,0.97004986,1.529e-05,0.02993485,0.11291297,0.8684485,0.01863852,OCCCCCCCCCC,0.622636158190203
30.0,0.9407,0,0.0593,0,1.0,0,h2o,1-decanol,lacticacid,0.96077469,1.9699e-05,0.03920561,0.11377783,0.86214412,0.02407805,OCCCCCCCCCC,0.6141480772777161
40.0,0.999,0,0.0010033,0,1.0,0,h2o,1-decanol,lacticacid,0.9994029,6.4629e-06,0.00059064,0.11221821,0.887332,0.0004498,OCCCCCCCCCC,0.7615467966951104
40.0,0.998,0,0.0020129,0,1.0,0,h2o,1-decanol,lacticacid,0.99880713,6.5933e-06,0.00118627,0.11231005,0.88678794,0.00090201,OCCCCCCCCCC,0.7603749567973564
40.0,0.9959,0,0.0040513,0,1.0,0,h2o,1-decanol,lacticacid,0.99760036,6.8642e-06,0.00239277,0.11249476,0.88569148,0.00181376,OCCCCCCCCCC,0.7580168591214367
40.0,0.9897,0,0.0103,0,1.0,0,h2o,1-decanol,lacticacid,0.99385383,7.7646e-06,0.00613841,0.11305705,0.88233366,0.00460929,OCCCCCCCCCC,0.7508931465965942
40.0,0.9787,0,0.0213,0,1.0,0,h2o,1-decanol,lacticacid,0.98715832,9.6176e-06,0.01283206,0.11402589,0.87649307,0.00948104,OCCCCCCCCCC,0.7388556474954139
